Age,Occupation,Race,Sex,HoursPerWeek,EducationNum
39, Adm-clerical, White, Male,40,13
50, Exec-managerial, White, Male,13,13
38, Handlers-cleaners, White, Male,40,9
53, Handlers-cleaners, Black, Male,40,7
28, Prof-specialty, Black, Female,40,13
37, Exec-managerial, White, Female,40,14
49, Other-service, Black, Female,16,5
52, Exec-managerial, White, Male,45,9
31, Prof-specialty, White, Female,50,14
42, Exec-managerial, White, Male,40,13
37, Exec-managerial, Black, Male,80,10
30, Prof-specialty, Asian-Pac-Islander, Male,40,13
23, Adm-clerical, White, Female,30,13
32, Sales, Black, Male,50,12
40, Craft-repair, Asian-Pac-Islander, Male,40,11
34, Transport-moving, Amer-Indian-Eskimo, Male,45,4
25, Farming-fishing, White, Male,35,9
32, Machine-op-inspct, White, Male,40,9
38, Sales, White, Male,50,7
43, Exec-managerial, White, Female,45,14
40, Prof-specialty, White, Male,60,16
54, Other-service, Black, Female,20,9
35, Farming-fishing, Black, Male,40,5
43, Transport-moving, White, Male,40,7
59, Tech-support, White, Female,40,9
56, Tech-support, White, Male,40,13
19, Craft-repair, White, Male,40,9
54, ?, Asian-Pac-Islander, Male,60,10
39, Exec-managerial, White, Male,80,9
49, Craft-repair, White, Male,40,9
23, Protective-serv, White, Male,52,12
20, Sales, Black, Male,44,10
45, Exec-managerial, White, Male,40,13
30, Adm-clerical, White, Male,40,10
22, Other-service, Black, Male,15,10
48, Machine-op-inspct, White, Male,40,7
21, Machine-op-inspct, White, Male,40,10
19, Adm-clerical, White, Female,25,9
31, Sales, White, Male,38,10
48, Prof-specialty, White, Male,40,12
31, Machine-op-inspct, White, Male,43,5
53, Prof-specialty, White, Male,40,13
24, Tech-support, White, Male,50,13
49, Adm-clerical, White, Female,40,9
25, Handlers-cleaners, White, Male,35,9
57, Prof-specialty, Black, Male,40,13
53, Machine-op-inspct, White, Male,38,9
44, Exec-managerial, White, Female,40,14
41, Craft-repair, White, Male,40,11
29, Prof-specialty, White, Male,43,11
25, Exec-managerial, Other, Female,40,10
18, Other-service, White, Female,30,9
47, Prof-specialty, White, Female,60,15
50, Exec-managerial, White, Male,55,13
47, Exec-managerial, White, Male,60,9
43, Tech-support, White, Male,40,10
46, Machine-op-inspct, White, Male,40,3
35, Other-service, White, Male,40,11
41, Adm-clerical, White, Male,48,9
30, Machine-op-inspct, White, Male,40,9
30, Sales, White, Male,40,13
32, ?, White, Male,40,4
48, Transport-moving, White, Male,40,9
42, Prof-specialty, White, Male,45,16
29, Tech-support, White, Male,58,10
36, Craft-repair, White, Male,40,9
28, Adm-clerical, White, Female,40,10
53, Adm-clerical, White, Female,40,9
49, Exec-managerial, White, Male,50,10
25, ?, White, Male,40,10
19, Prof-specialty, White, Male,32,10
31, Sales, Black, Female,40,13
29, Sales, White, Male,70,13
23, Machine-op-inspct, White, Male,40,10
79, Prof-specialty, White, Male,20,10
27, Other-service, White, Male,40,9
40, Adm-clerical, White, Male,40,12
67, ?, White, Male,2,6
18, Other-service, White, Female,22,7
31, Farming-fishing, White, Male,40,4
18, Sales, White, Male,30,9
52, Other-service, White, Male,40,13
46, Other-service, White, Female,40,9
59, Sales, White, Male,48,9
44, Craft-repair, White, Female,40,9
53, Sales, White, Female,35,9
49, Protective-serv, White, Male,40,9
33, Prof-specialty, White, Male,50,14
30, Sales, White, Male,40,5
43, Prof-specialty, White, Female,50,16
57, Prof-specialty, White, Male,40,11
37, Craft-repair, White, Female,40,10
28, Machine-op-inspct, Black, Female,25,10
30, Sales, Asian-Pac-Islander, Female,35,9
34, Protective-serv, White, Male,40,13
29, Handlers-cleaners, White, Male,50,10
48, Prof-specialty, White, Male,60,16
37, Sales, White, Male,48,10
48, Exec-managerial, White, Female,40,12
32, Other-service, Black, Male,40,9
76, Exec-managerial, White, Male,40,14
